,sentiment,content
0,,quotmyproblemmissyoucausedontquot
1,,thatsitdonealreadyoneprooftheresnothingfairworld
2,,hungryfoodsteal
3,,feethurtfinallybedwillforgetcrunchoververyproductivedaytodaythough
4,,reallyillatm
5,,hiimchriscantgetminekeepgettingerror
6,,coconutfriendshouldntiimhappyenjoyedcosimthoughtfullikeseeyayahavfollowerswoop
7,,megfitzgeraldhearthurtstoo
8,,tommcflyahhhhhhh16thbirthdaycantbelivefoundimseeingyoustonightbestpresenteverrlt333333333
9,,saysmissescousinsbadly
10,,hatesong
11,,kelseyrose56wishgoingtoostillcomingnicolesprepromnicolesx319cantwaitpreprom
12,,mscrismusicwishud
13,,listenindabeachgirl5itunes
14,,enjoyinggreatsunshineindoorsfeelgoodtoday
15,,leavingnolatodaycountingsecondstilstartcryingloveplacemuch
16,,stuckofficetill5warmoutside
17,,quotbadwordscrutchleadtattoospeircingsquothahahaha
18,,petronellareallywantshishkebabgoingsettletoast
19,,mileycyrussorryyymilerzcantvotewouldlovevoteworkssadfrustraded
20,,emiilykateknowheapsawesomeworkingweekend
21,,workmiserableday
22,,dougiemcflytoohehehatecoldstotalyannoying
23,,mysolisawsorryurdaysuckeduseepostabtcarissueslolthinksafesaygetbetterthobeerthirty
24,,yaybannerbombwiifinallyoutrunhomebrew40wii
25,,suzyqbee10thatdawesomethinkeverbloggedabout
26,,cookiesmilkmakefeelbetterthanksbabestillrecuperatinglastnight
27,,goldimexceptimsitenearairportdixonlilstarbucksgpsheadhehe
28,,wishraining
29,,xhayleeeyfinallygettingreadyseemsnahahafunfunfun
30,,drinkingcordialyesimbored
31,,watchedbonesfinalelastnightukamprockedohmuchmissedzackericmilleganfreakinawesomelt3
32,,cocotiancoursedoadorableface
33,,tearlesspoethmmmreallythatsweirdidkonesowwy
34,,ng01gotitpoorthinggonnachoicemuchlongerthough
35,,followmyjourneyohgirlgetbabygoingbed7pm
36,,anotherweekstarts
37,,fedpain
38,,choosingbritneydanceshowcaseyessscantwaitdays
39,,desertparadisehidalewelcomemanhopeurweekendgoingwellthinkwouldenjoydesertparadisefunfunfun
40,,gymdayhopingenjoylastfridaytwenties
41,,karen230683morninghopeurwellbedsoon
42,,shanelapointheyhunnieumisstalkinutyfollow
43,,botsethatscutepicturegetfatlickingbbqsmustfoundchopssomeoneelses
44,,aaahgoodbyemikeesmokedcrabs
45,,stomachhurts
46,,gladgotcleareduplahyouidklindahatesthough
47,,realizedspelledquotadorablequotwrongtweetedmindykalingmusthate
48,,karen230683goodgood
49,,followersbomdia
50,,feellikedreamgotcrushed
51,,clearintellectuallyseveringrelationshipbestyetheartseemsbcompletedisagreementhurtsmuch
52,,imhappyipodlaptopdontknowwhihonedecidedrefuseletsyncsongslivewithout
53,,workstarving
54,,mrcartersnursecongratulationsmomtomorrowbuenasnoches
55,,lookslikebeautifuldayandworktilsundayyaybbqyetthoughgonnapostponeinvitations
56,,californiasunnymakeskindasad
57,,timerevisionlisteningdirengreyalbumsnonstopdayagain
58,,liveinlove10yeshaahaaabreakjellybeaniesss
59,,tonibrocklissfyiconniecarlatotallyawesomepreviewsmakeseemsorryone
60,,jaycool2kwantgopeachesalsomisskittinpendulumchaseampstatusbloodybeetrootsfair
61,,thinkbreakheartasemosoundsmeh
62,,sunshineangel89yeahcoursenexttimeicq
63,,epicfailchocolatefountaingotclogged
64,,cleaningday
65,,hannahxmakeupstupidputetletgochat
66,,spinachpuffsyeeeeahseenempiretopcomputergames
67,,watchinggreysanatomytakeblueberrymuffinsovenmmmyummyfinishedgeoggersstudynotesyay
68,,lovesjohnmayersupdatesmodelinghotsunsweatyjkseriously
69,,panicitsleslieawwthatsstillawesomefunthoughassume
70,,mustweatherbnicebadminute
71,,antsrantsdrivinginsanewantliein
72,,tam98lookedpagerealisedradioshowgetplaycallwantlovetrack
73,,boughtnewcomboprintercostcotodayofficejetj4550causecheaperinkoldonewindows7likefaxpart
74,,janevans35lollovemacbooktooohimaccantdecidelovemoreok24quotimactrumps13quotmacbook
75,,philritchieboomwillboomsawmovielastnightreallyenjoyed
76,,lexielovesgreyswellsadlyliveboringcityusanothinghere
77,,boredlonelywork
78,,howardlindzonkissasslookingforwardcentralmountainpacificmothersdaytweetsforgetpei
79,,
80,,bloomsday16sorryhearthatoptimistthingsgetbetterus
81,,cablesignalmessedupmissingghostwhisperernewshurttoecoldlikehotweather
82,,jonathanrknightwithouturtweetsfeellosthitsomething
83,,yousifmindgoodmorning3asamobsimportantclassesp
84,,everythingssooomesseduplifesucks
85,,acmaurerwondergeturbana
86,,flahmanownï¿½otevionteeeeeeem
87,,goinghomeenjoyleftdaycantbelievequicklyweekflewbytimetweets
88,,finished1stnewsongsoonyoutubekeepingupdated
89,,ifelixgonzalezreallylookslikegoingraingraylabummersumtimes
90,,damnfallouthardgame
91,,cantwaitseemarcolaterfeelingbest
92,,conferencecallhpgaveinvalidpasscodecantattend
93,,pawstoupdatebreaksheart
94,,couplethoughtswasboredmorning
95,,goingmissroomiestaycylongerroomiesstartingtomorrow
96,,girlxbottomthingmovingallfeelsbadman
97,,followingtwittbitchcausegerhemiordered
98,,dressedgo
99,,samiyusufsireverythinggreatinshaaallah
100,,manyfarewellpartiessadseepeopleleaving
101,,stiinomakesrealisedoomedhumanityusa
102,,goodnewstimeincrediblyharddecision
103,,lovesunshinehappinessbrings
104,,voicenemoturnstodaythanksnpr
105,,johneastmissedoneyearforbiddenfruittreesgardenmunchdisappointmentone
106,,catdiedkidneyfailuremathtestdayneedsgetbetter
107,,gettingusedgettingcoldasthmapayingit
108,,wellritegtheadache
109,,beautifuldaywishenergyenjoyit
110,,gotearlypaybillsfiguredlikebandaidgetquicklybadwrong
111,,guesstalkingorlandomagicwhoiskenannothingmagical
112,,phoneultrafastlatestfirmwareupdatesinstalled
113,,needbearhugimgoingcamptoday
114,,menchulyfridaysweldoday
115,,ederynbaddayttgyahcarbabyclientteethingmiserableforgotpacklunchgetnewcar
116,,alkalinetriosweetsavesdaysuckedgreattimeanywaysawesomeseeingeverybodyhangin
